target_end_date,value,type,quantile,forecast_date,target,location
2020-11-28,130.40268121816777,quantile,0.300,2020-11-20,8 day ahead inc hosp,25
2020-11-28,134.04087748087574,quantile,0.350,2020-11-20,8 day ahead inc hosp,25
2020-11-28,137.56306025695716,quantile,0.400,2020-11-20,8 day ahead inc hosp,25
2020-11-28,141.03644164624973,quantile,0.450,2020-11-20,8 day ahead inc hosp,25
2020-11-28,144.51856743214756,quantile,0.500,2020-11-20,8 day ahead inc hosp,25
2020-11-28,146.54773146670757,point,NA,2020-11-20,8 day ahead inc hosp,25
2020-11-28,148.0647777544617,quantile,0.550,2020-11-20,8 day ahead inc hosp,25
2020-11-28,151.73456391962907,quantile,0.600,2020-11-20,8 day ahead inc hosp,25
2020-11-28,155.59883979981618,quantile,0.650,2020-11-20,8 day ahead inc hosp,25
2020-11-28,159.75059691578775,quantile,0.700,2020-11-20,8 day ahead inc hosp,25
2020-11-28,164.32362143477306,quantile,0.750,2020-11-20,8 day ahead inc hosp,25
2020-11-28,169.53067952176346,quantile,0.800,2020-11-20,8 day ahead inc hosp,25
2020-11-28,175.7552424771504,quantile,0.850,2020-11-20,8 day ahead inc hosp,25
2020-11-28,183.82884752844183,quantile,0.900,2020-11-20,8 day ahead inc hosp,25
2020-11-28,196.3028438417504,quantile,0.950,2020-11-20,8 day ahead inc hosp,25
2020-11-28,207.62703006704325,quantile,0.975,2020-11-20,8 day ahead inc hosp,25
2020-11-28,221.40207399586964,quantile,0.990,2020-11-20,8 day ahead inc hosp,25
2020-11-29,89.61289553386098,quantile,0.010,2020-11-20,9 day ahead inc hosp,25
2020-11-29,97.20905126768768,quantile,0.025,2020-11-20,9 day ahead inc hosp,25
2020-11-29,104.11978096328019,quantile,0.050,2020-11-20,9 day ahead inc hosp,25
2020-11-29,112.53757266822245,quantile,0.100,2020-11-20,9 day ahead inc hosp,25
2020-11-29,118.49852815012397,quantile,0.150,2020-11-20,9 day ahead inc hosp,25
2020-11-29,123.40251210068728,quantile,0.200,2020-11-20,9 day ahead inc hosp,25
2020-11-29,127.7296480968935,quantile,0.250,2020-11-20,9 day ahead inc hosp,25
2020-11-29,131.71163862622367,quantile,0.300,2020-11-20,9 day ahead inc hosp,25
2020-11-29,135.4839855959048,quantile,0.350,2020-11-20,9 day ahead inc hosp,25
2020-11-29,139.13795260535483,quantile,0.400,2020-11-20,9 day ahead inc hosp,25
2020-11-29,142.74307516389877,quantile,0.450,2020-11-20,9 day ahead inc hosp,25
2020-11-29,146.35899660732665,quantile,0.500,2020-11-20,9 day ahead inc hosp,25
2020-11-29,148.52058721871546,point,NA,2020-11-20,9 day ahead inc hosp,25
2020-11-29,150.04318487105303,quantile,0.550,2020-11-20,9 day ahead inc hosp,25
2020-11-29,153.85753024212536,quantile,0.600,2020-11-20,9 day ahead inc hosp,25
2020-11-29,157.87591748092706,quantile,0.650,2020-11-20,9 day ahead inc hosp,25
2020-11-29,162.1953458141215,quantile,0.700,2020-11-20,9 day ahead inc hosp,25
2020-11-29,166.9554847961011,quantile,0.750,2020-11-20,9 day ahead inc hosp,25
2020-11-29,172.37859393725134,quantile,0.800,2020-11-20,9 day ahead inc hosp,25
2020-11-29,178.86544767510438,quantile,0.850,2020-11-20,9 day ahead inc hosp,25
2020-11-29,187.28548686845778,quantile,0.900,2020-11-20,9 day ahead inc hosp,25
2020-11-29,200.3077495788135,quantile,0.950,2020-11-20,9 day ahead inc hosp,25
2020-11-29,212.14243721649962,quantile,0.975,2020-11-20,9 day ahead inc hosp,25
2020-11-29,226.55364424252875,quantile,0.990,2020-11-20,9 day ahead inc hosp,25
2020-11-30,89.61692971033239,quantile,0.010,2020-11-20,10 day ahead inc hosp,25
2020-11-30,97.42711369267431,quantile,0.025,2020-11-20,10 day ahead inc hosp,25
2020-11-30,104.54323154548652,quantile,0.050,2020-11-20,10 day ahead inc hosp,25
2020-11-30,113.22370703897428,quantile,0.100,2020-11-20,10 day ahead inc hosp,25
2020-11-30,119.37833591240798,quantile,0.150,2020-11-20,10 day ahead inc hosp,25
2020-11-30,124.4460914532872,quantile,0.200,2020-11-20,10 day ahead inc hosp,25
2020-11-30,128.9208941525099,quantile,0.250,2020-11-20,10 day ahead inc hosp,25
2020-11-30,133.04127846945815,quantile,0.300,2020-11-20,10 day ahead inc hosp,25
2020-11-30,136.94686447569296,quantile,0.350,2020-11-20,10 day ahead inc hosp,25
2020-11-30,140.73179800048985,quantile,0.400,2020-11-20,10 day ahead inc hosp,25
2020-11-30,144.46791705077024,quantile,0.450,2020-11-20,10 day ahead inc hosp,25
2020-11-30,148.21694832730364,quantile,0.500,2020-11-20,10 day ahead inc hosp,25
2020-11-30,150.51251906169546,point,NA,2020-11-20,10 day ahead inc hosp,25
2020-11-30,152.03847777411386,quantile,0.550,2020-11-20,10 day ahead inc hosp,25
2020-11-30,155.99678808012618,quantile,0.600,2020-11-20,10 day ahead inc hosp,25
2020-11-30,160.1687310418027,quantile,0.650,2020-11-20,10 day ahead inc hosp,25
2020-11-30,164.65531262495236,quantile,0.700,2020-11-20,10 day ahead inc hosp,25
2020-11-30,169.60208878134358,quantile,0.750,2020-11-20,10 day ahead inc hosp,25
2020-11-30,175.2408224635983,quantile,0.800,2020-11-20,10 day ahead inc hosp,25
2020-11-30,181.98961731469748,quantile,0.850,2020-11-20,10 day ahead inc hosp,25
2020-11-30,190.75589079116818,quantile,0.900,2020-11-20,10 day ahead inc hosp,25
2020-11-30,204.3266562492713,quantile,0.950,2020-11-20,10 day ahead inc hosp,25
2020-11-30,216.67261149091323,quantile,0.975,2020-11-20,10 day ahead inc hosp,25
2020-11-30,231.72159072436273,quantile,0.990,2020-11-20,10 day ahead inc hosp,25
2020-12-01,89.6539883235922,quantile,0.010,2020-11-20,11 day ahead inc hosp,25
2020-12-01,97.67521354397863,quantile,0.025,2020-11-20,11 day ahead inc hosp,25
2020-12-01,104.99426012127887,quantile,0.050,2020-11-20,11 day ahead inc hosp,25
2020-12-01,113.9347506652989,quantile,0.100,2020-11-20,11 day ahead inc hosp,25
2020-12-01,120.28137623045914,quantile,0.150,2020-11-20,11 day ahead inc hosp,25
2020-12-01,125.51165384974288,quantile,0.200,2020-11-20,11 day ahead inc hosp,25
2020-12-01,130.1331164514076,quantile,0.250,2020-11-20,11 day ahead inc hosp,25
2020-12-01,134.39104614711218,quantile,0.300,2020-11-20,11 day ahead inc hosp,25
2020-12-01,138.42913549189294,quantile,0.350,2020-11-20,11 day ahead inc hosp,25
2020-12-01,142.34438516846518,quantile,0.400,2020-11-20,11 day ahead inc hosp,25
2020-12-01,146.2109182593771,quantile,0.450,2020-11-20,11 day ahead inc hosp,25
2020-12-01,150.09253346096662,quantile,0.500,2020-11-20,11 day ahead inc hosp,25
2020-12-01,152.52364502060087,point,NA,2020-11-20,11 day ahead inc hosp,25
2020-12-01,154.0509274749124,quantile,0.550,2020-11-20,11 day ahead inc hosp,25
2020-12-01,158.1527713639482,quantile,0.600,2020-11-20,11 day ahead inc hosp,25
2020-12-01,162.47788297356828,quantile,0.650,2020-11-20,11 day ahead inc hosp,25
2020-12-01,167.1312776226913,quantile,0.700,2020-11-20,11 day ahead inc hosp,25
2020-12-01,172.26440563686407,quantile,0.750,2020-11-20,11 day ahead inc hosp,25
2020-12-01,178.11855119001714,quantile,0.800,2020-11-20,11 day ahead inc hosp,25
2020-12-01,185.12918673988855,quantile,0.850,2020-11-20,11 day ahead inc hosp,25
2020-12-01,194.24180806652512,quantile,0.900,2020-11-20,11 day ahead inc hosp,25
2020-12-01,208.3617762682882,quantile,0.950,2020-11-20,11 day ahead inc hosp,25
2020-12-01,221.22016601954329,quantile,0.975,2020-11-20,11 day ahead inc hosp,25
2020-12-01,236.90899007938523,quantile,0.990,2020-11-20,11 day ahead inc hosp,25
2020-12-02,89.72166200497377,quantile,0.010,2020-11-20,12 day ahead inc hosp,25
2020-12-02,97.95132542721242,quantile,0.025,2020-11-20,12 day ahead inc hosp,25
2020-12-02,105.47117632548185,quantile,0.050,2020-11-20,12 day ahead inc hosp,25
2020-12-02,114.66940428925614,quantile,0.100,2020-11-20,12 day ahead inc hosp,25
2020-12-02,121.20661630135352,quantile,0.150,2020-11-20,12 day ahead inc hosp,25
2020-12-02,126.59837956212317,quantile,0.200,2020-11-20,12 day ahead inc hosp,25
2020-12-02,131.3656788923278,quantile,0.250,2020-11-20,12 day ahead inc hosp,25
2020-12-02,135.76047104922617,quantile,0.300,2020-11-20,12 day ahead inc hosp,25
2020-12-02,139.93048183744654,quantile,0.350,2020-11-20,12 day ahead inc hosp,25
2020-12-02,143.9755436083982,quantile,0.400,2020-11-20,12 day ahead inc hosp,25
2020-12-02,147.9720501437476,quantile,0.450,2020-11-20,12 day ahead inc hosp,25
2020-12-02,151.9858632268444,quantile,0.500,2020-11-20,12 day ahead inc hosp,25
2020-12-02,154.55408347030078,point,NA,2020-11-20,12 day ahead inc hosp,25
2020-12-02,156.08078528248356,quantile,0.550,2020-11-20,12 day ahead inc hosp,25
2020-12-02,160.32587395017543,quantile,0.600,2020-11-20,12 day ahead inc hosp,25
2020-12-02,164.80391464534182,quantile,0.650,2020-11-20,12 day ahead inc hosp,25
2020-12-02,169.62393779023162,quantile,0.700,2020-11-20,12 day ahead inc hosp,25
2020-12-02,174.94330041225209,quantile,0.750,2020-11-20,12 day ahead inc hosp,25
2020-12-02,181.01283241940956,quantile,0.800,2020-11-20,12 day ahead inc hosp,25
2020-12-02,188.28542656505238,quantile,0.850,2020-11-20,12 day ahead inc hosp,25
2020-12-02,197.74478389599332,quantile,0.900,2020-11-20,12 day ahead inc hosp,25
2020-12-02,212.41506116116025,quantile,0.950,2020-11-20,12 day ahead inc hosp,25
2020-12-02,225.78740361467538,quantile,0.975,2020-11-20,12 day ahead inc hosp,25
2020-12-02,242.1185515710038,quantile,0.990,2020-11-20,12 day ahead inc hosp,25
2020-12-03,89.81784716510444,quantile,0.010,2020-11-20,13 day ahead inc hosp,25
2020-12-03,98.25368237293947,quantile,0.025,2020-11-20,13 day ahead inc hosp,25
2020-12-03,105.97250718069236,quantile,0.050,2020-11-20,13 day ahead inc hosp,25
2020-12-03,115.42653843447593,quantile,0.100,2020-11-20,13 day ahead inc hosp,25
2020-12-03,122.15316084029517,quantile,0.150,2020-11-20,13 day ahead inc hosp,25
2020-12-03,127.70556067279252,quantile,0.200,2020-11-20,13 day ahead inc hosp,25
2020-12-03,132.6180350917155,quantile,0.250,2020-11-20,13 day ahead inc hosp,25
2020-12-03,137.1491524200812,quantile,0.300,2020-11-20,13 day ahead inc hosp,25
2020-12-03,141.45063813757838,quantile,0.350,2020-11-20,13 day ahead inc hosp,25
2020-12-03,145.62513676093306,quantile,0.400,2020-11-20,13 day ahead inc hosp,25
2020-12-03,149.75130107076242,quantile,0.450,2020-11-20,13 day ahead inc hosp,25
2020-12-03,153.89704919310685,quantile,0.500,2020-11-20,13 day ahead inc hosp,25
2020-12-03,156.60395313531237,point,NA,2020-11-20,13 day ahead inc hosp,25
2020-12-03,158.12828619229154,quantile,0.550,2020-11-20,13 day ahead inc hosp,25
2020-12-03,162.51645645314704,quantile,0.600,2020-11-20,13 day ahead inc hosp,25
2020-12-03,167.14731669324036,quantile,0.650,2020-11-20,13 day ahead inc hosp,25
2020-12-03,172.13392095550788,quantile,0.700,2020-11-20,13 day ahead inc hosp,25
2020-12-03,177.63954913867516,quantile,0.750,2020-11-20,13 day ahead inc hosp,25
2020-12-03,183.92460734366378,quantile,0.800,2020-11-20,13 day ahead inc hosp,25
2020-12-03,191.45947058571758,quantile,0.850,2020-11-20,13 day ahead inc hosp,25
2020-12-03,201.26619439874952,quantile,0.900,2020-11-20,13 day ahead inc hosp,25
2020-12-03,216.48824576469298,quantile,0.950,2020-11-20,13 day ahead inc hosp,25
2020-12-03,230.37636936292526,quantile,0.975,2020-11-20,13 day ahead inc hosp,25
2020-12-03,247.35267938261399,quantile,0.990,2020-11-20,13 day ahead inc hosp,25
2020-12-04,89.94069649457697,quantile,0.010,2020-11-20,14 day ahead inc hosp,25
2020-12-04,98.58073404309698,quantile,0.025,2020-11-20,14 day ahead inc hosp,25
